"INT_DATE","INT_START","STRATUM","COUNTRY","ID","AGE","RESPSEX","RESEMPL","RESPPOB","RESPMAR","TRUCRTS","TRUPARL","TRUEXEC","TRUPRES"
2017-09-22,1960-01-01 14:51:00,1,3,2110059001,51,1,1,1,2,1,1,1,4
2017-09-22,1960-01-01 15:27:00,1,3,2110059002,66,2,0,1,2,1,1,1,4
2017-09-22,1960-01-01 15:56:00,1,3,2110059004,40,2,0,3,2,1,1,3,3
2017-09-22,1960-01-01 16:25:00,1,3,302038002,39,2,0,3,2,2,3,3,3
2017-09-22,1960-01-01 16:27:00,1,3,2110059005,58,2,0,1,2,2,1,2,2
2017-09-22,1960-01-01 17:13:00,1,3,1909066004,27,2,1,2,4,1,1,2,3
2017-09-22,1960-01-01 17:47:00,1,3,302038004,32,2,0,2,2,2,2,4,3
2017-09-22,1960-01-01 18:11:00,1,3,1909066006,48,1,0,1,1,1,2,1,2
2017-09-22,1960-01-01 19:02:00,1,3,1909066007,59,1,1,2,4,1,1,1,4
2017-09-23,1960-01-01 11:55:00,1,3,2010023002,61,2,0,2,4,4,4,4,4
2017-09-23,1960-01-01 12:43:00,1,3,2010023003,47,2,0,2,4,4,4,4,4
2017-09-23,1960-01-01 13:31:00,1,3,2010023005,44,2,1,2,4,2,3,3,4
2017-09-23,1960-01-01 13:31:00,1,3,1909066009,74,2,0,3,4,1,4,4,3
2017-09-23,1960-01-01 13:37:00,1,3,2110059010,30,1,1,4,4,4,3,3,3
2017-09-23,1960-01-01 13:38:00,1,3,1306062001,49,1,0,3,2,1,1,1,1
2017-09-23,1960-01-01 13:59:00,1,3,1006106001,36,1,1,3,4,1,2,1,1
2017-09-23,1960-01-01 14:17:00,1,3,2110059011,31,1,1,3,2,-1,3,2,3
2017-09-23,1960-01-01 14:21:00,1,3,2210080006,59,1,1,3,2,2,3,3,3
2017-09-23,1960-01-01 14:29:00,1,3,2010023006,34,2,0,2,3,4,4,4,4
2017-09-23,1960-01-01 14:31:00,1,3,1909066012,55,2,1,2,4,1,-1,3,4
2017-09-23,1960-01-01 14:33:00,1,3,1306062002,64,1,1,3,2,3,3,2,4
2017-09-23,1960-01-01 14:53:00,1,3,2110068016,19,1,0,4,1,4,4,4,3
2017-09-23,1960-01-01 15:00:00,1,3,2110039002,23,1,0,1,1,4,1,1,3
2017-09-23,1960-01-01 15:00:00,1,3,1909066013,28,2,1,3,2,2,1,2,2
2017-09-23,1960-01-01 15:05:00,1,3,1005030003,26,2,0,3,5,3,3,3,4
2017-09-23,1960-01-01 15:12:00,1,3,1006106005,28,1,0,3,1,1,1,1,4
2017-09-23,1960-01-01 15:16:00,1,3,2210080007,64,2,1,3,1,1,1,1,3
2017-09-23,1960-01-01 15:18:00,1,3,2110059013,70,2,0,3,8,4,2,3,2
2017-09-23,1960-01-01 15:38:00,1,3,2210080001,55,2,0,3,1,1,1,1,4
2017-09-23,1960-01-01 15:39:00,1,3,302038012,53,2,0,2,2,3,1,4,2
2017-09-23,1960-01-01 15:54:00,1,3,1005030005,27,2,0,3,4,2,3,3,3
2017-09-23,1960-01-01 16:08:00,1,3,2110039004,66,2,0,3,5,-1,2,3,3
2017-09-23,1960-01-01 16:08:00,1,3,2010013004,62,2,1,1,2,2,2,3,2
2017-09-23,1960-01-01 16:27:00,1,3,1306062009,33,2,-3,1,4,4,-1,4,4
2017-09-23,1960-01-01 16:32:00,1,3,2210080004,56,2,0,3,2,3,3,5,5
2017-09-23,1960-01-01 16:39:00,1,3,302038015,38,2,1,3,2,2,2,2,4
2017-09-23,1960-01-01 17:06:00,1,3,1005030014,70,2,0,3,4,1,1,1,1
2017-09-23,1960-01-01 17:09:00,1,3,1006106017,34,2,0,3,6,1,1,2,3
2017-09-23,1960-01-01 17:12:00,1,3,2210080005,61,2,1,3,1,1,2,1,4
2017-09-23,1960-01-01 17:23:00,1,3,2010013005,28,2,1,3,8,2,3,3,3
2017-09-23,1960-01-01 17:31:00,1,3,2110039005,51,2,0,1,8,1,-1,1,1
2017-09-23,1960-01-01 17:58:00,1,3,302038017,70,1,0,2,2,3,3,3,3
2017-09-23,1960-01-01 17:59:00,1,3,1006106019,50,2,1,3,2,3,3,3,5
2017-09-23,1960-01-01 18:13:00,1,3,2110039006,29,2,0,3,2,5,4,3,3
2017-09-23,1960-01-01 18:16:00,1,3,1306062010,54,2,0,3,2,3,3,3,5
2017-09-23,1960-01-01 18:19:00,1,3,2010013007,37,2,0,3,2,4,4,4,4
2017-09-23,1960-01-01 18:55:00,1,3,2110039008,20,1,0,3,1,3,4,4,4
2017-09-23,1960-01-01 18:58:00,1,3,1006106021,58,2,0,1,4,4,4,4,4
2017-09-23,1960-01-01 19:26:00,1,3,1709018001,32,2,1,3,7,2,1,1,1
2017-09-23,1960-01-01 19:36:00,1,3,2110039001,33,1,1,3,2,4,3,3,3
2017-09-24,1960-01-01 11:11:00,1,3,2110039009,39,2,0,3,5,2,2,2,3
2017-09-24,1960-01-01 11:16:00,1,3,2010023009,52,1,1,2,4,4,4,4,4
2017-09-24,1960-01-01 11:24:00,1,3,1106078001,85,1,0,3,2,4,2,2,4
2017-09-24,1960-01-01 12:13:00,1,3,2110059008,27,1,1,2,3,3,3,3,3
2017-09-24,1960-01-01 12:32:00,1,3,2110039011,34,1,1,4,3,3,1,1,3
2017-09-24,1960-01-01 12:36:00,1,3,1709001001,75,2,0,4,8,2,3,3,4
2017-09-24,1960-01-01 12:40:00,1,3,1106078005,60,1,1,3,2,2,2,2,2
2017-09-24,1960-01-01 12:50:00,1,3,2110059014,27,2,0,2,3,1,2,2,2
2017-09-24,1960-01-01 12:54:00,1,3,1006106016,37,1,0,1,4,4,1,2,4
2017-09-24,1960-01-01 13:01:00,1,3,403042001,52,1,0,2,6,3,3,3,3
2017-09-24,1960-01-01 13:22:00,1,3,1106078006,54,2,1,1,2,2,2,2,2
2017-09-24,1960-01-01 13:27:00,1,3,2110039014,24,1,0,3,1,1,1,1,1
2017-09-24,1960-01-01 13:28:00,1,3,2110059015,21,1,1,1,1,2,2,3,3
2017-09-24,1960-01-01 13:36:00,1,3,1306062012,35,1,1,3,4,3,1,3,3
2017-09-24,1960-01-01 13:42:00,1,3,2110065008,84,2,0,2,8,1,1,1,2
2017-09-24,1960-01-01 13:43:00,1,3,1306067003,62,2,0,3,8,2,2,2,2
2017-09-24,1960-01-01 13:47:00,1,3,403042003,52,2,0,1,6,1,1,1,4
2017-09-24,1960-01-01 14:04:00,1,3,2010023014,47,2,1,2,1,3,3,3,3
2017-09-24,1960-01-01 14:07:00,1,3,2110059016,61,1,0,2,6,3,2,3,3
2017-09-24,1960-01-01 14:15:00,1,3,2110039017,43,2,0,3,4,1,2,3,3
2017-09-24,1960-01-01 14:18:00,1,3,1206049001,30,2,1,3,4,3,3,3,4
2017-09-24,1960-01-01 14:25:00,1,3,1709001006,53,2,0,3,8,-1,2,2,4
2017-09-24,1960-01-01 14:29:00,1,3,1106078009,21,2,0,1,1,3,3,3,2
2017-09-24,1960-01-01 14:37:00,1,3,2110059017,55,2,1,2,1,3,3,2,3
2017-09-24,1960-01-01 14:43:00,1,3,1909066015,31,2,0,3,4,4,4,4,3
2017-09-24,1960-01-01 14:43:00,1,3,1809039005,41,2,0,3,4,3,1,3,3
2017-09-24,1960-01-01 14:48:00,1,3,403042009,54,1,1,1,2,5,5,5,5
2017-09-24,1960-01-01 14:52:00,1,3,1006106022,31,2,0,3,4,3,3,3,3
2017-09-24,1960-01-01 14:57:00,1,3,2010023015,29,2,1,2,7,2,2,2,2
2017-09-24,1960-01-01 15:05:00,1,3,1306062015,30,1,1,1,4,4,4,4,4
2017-09-24,1960-01-01 15:11:00,1,3,1106078011,87,2,0,3,1,2,3,3,4
2017-09-24,1960-01-01 15:12:00,1,3,2110059018,18,2,0,2,1,1,2,3,5
2017-09-24,1960-01-01 15:12:00,1,3,1206049003,71,2,0,3,8,3,3,3,4
2017-09-24,1960-01-01 15:12:00,1,3,1709018002,68,2,0,3,8,1,2,1,2
2017-09-24,1960-01-01 15:14:00,1,3,2110039018,19,1,0,3,1,4,1,1,2
2017-09-24,1960-01-01 15:18:00,1,3,2110065012,26,2,0,2,4,3,1,1,1
2017-09-24,1960-01-01 15:20:00,1,3,2210091004,31,1,1,3,2,3,3,4,4
2017-09-24,1960-01-01 15:23:00,1,3,403042011,41,2,0,2,8,-1,4,4,4
2017-09-24,1960-01-01 15:26:00,1,3,1909066016,78,2,0,3,8,2,2,2,3
2017-09-24,1960-01-01 15:28:00,1,3,2110037008,27,2,0,1,6,4,2,2,2
2017-09-24,1960-01-01 15:33:00,1,3,1005030016,25,2,0,1,1,3,3,3,2
2017-09-24,1960-01-01 15:34:00,1,3,1306067006,75,2,0,3,1,3,1,1,1
2017-09-24,1960-01-01 15:41:00,1,3,302038024,24,2,1,3,1,2,2,3,4
2017-09-24,1960-01-01 15:46:00,1,3,1809051002,80,2,0,2,8,2,2,-1,3
2017-09-24,1960-01-01 15:48:00,1,3,1006106024,37,1,1,4,6,1,1,1,4
2017-09-24,1960-01-01 16:05:00,1,3,403042013,20,2,0,3,1,2,3,3,3
2017-09-24,1960-01-01 16:06:00,1,3,1909066017,82,1,0,3,2,1,1,1,2
2017-09-24,1960-01-01 16:09:00,1,3,1306062016,84,2,0,1,8,3,1,1,1
2017-09-24,1960-01-01 16:09:00,1,3,2210091006,68,2,0,3,1,2,4,4,1
2017-09-24,1960-01-01 16:14:00,1,3,2210080009,55,2,0,3,6,3,3,2,3
2017-09-24,1960-01-01 16:20:00,1,3,1206049004,37,2,0,3,4,2,4,4,4
2017-09-24,1960-01-01 16:30:00,1,3,1006106018,58,2,1,3,2,4,4,5,5
2017-09-24,1960-01-01 16:30:00,1,3,1005030022,82,2,0,3,8,2,1,1,1
2017-09-24,1960-01-01 16:34:00,1,3,1809039008,53,2,0,2,8,-1,1,-1,4
2017-09-24,1960-01-01 16:35:00,1,3,1709017002,76,1,1,3,2,2,2,3,2
2017-09-24,1960-01-01 16:38:00,1,3,1709018005,38,1,0,3,2,3,3,3,3
2017-09-24,1960-01-01 16:49:00,1,3,2210080010,69,2,0,3,8,3,3,3,3
2017-09-24,1960-01-01 16:56:00,1,3,2110037011,28,1,0,3,1,2,5,5,5
2017-09-24,1960-01-01 16:59:00,1,3,1306067009,56,2,1,1,6,1,1,1,3
2017-09-24,1960-01-01 17:01:00,1,3,1206049005,18,2,0,3,1,4,2,2,2
2017-09-24,1960-01-01 17:10:00,1,3,1809051011,45,2,1,1,4,1,1,1,1
2017-09-24,1960-01-01 17:13:00,1,3,1909066020,54,2,1,3,6,4,4,4,4
2017-09-24,1960-01-01 17:15:00,1,3,1306062018,55,2,1,1,4,3,1,3,3
2017-09-24,1960-01-01 17:17:00,1,3,1006106020,24,2,0,3,3,3,4,4,4
2017-09-24,1960-01-01 17:34:00,1,3,1709018008,29,2,1,3,1,3,3,3,4
2017-09-24,1960-01-01 17:48:00,1,3,1909066021,34,2,0,3,7,4,3,3,4
2017-09-24,1960-01-01 17:51:00,1,3,1005030002,57,2,1,3,2,3,3,3,3
2017-09-24,1960-01-01 17:52:00,1,3,1206049008,84,1,0,3,4,4,4,3,3
2017-09-24,1960-01-01 18:00:00,1,3,1006106002,55,2,0,3,2,1,1,1,1
2017-09-24,1960-01-01 18:09:00,1,3,1306067011,62,2,1,3,2,3,4,4,4
2017-09-24,1960-01-01 18:11:00,1,3,1306062019,52,2,1,3,2,3,3,2,5
2017-09-24,1960-01-01 18:29:00,1,3,1809051014,40,2,0,3,2,3,2,2,2
2017-09-24,1960-01-01 18:30:00,1,3,1909066022,31,1,1,3,4,1,2,1,1
2017-09-24,1960-01-01 18:42:00,1,3,1206049009,55,1,0,3,4,1,2,2,3
2017-09-24,1960-01-01 19:01:00,1,3,1006106008,29,2,0,3,4,5,4,4,4
2017-09-24,1960-01-01 19:05:00,1,3,1809051015,56,2,1,2,2,2,2,2,2
2017-09-24,1960-01-01 19:37:00,1,3,1206049010,65,1,0,3,4,1,2,3,3
2017-09-24,1960-01-01 19:39:00,1,3,1006106009,46,2,1,3,5,1,2,2,4
2017-09-24,1960-01-01 20:23:00,1,3,1006106013,28,1,1,3,5,1,1,1,1
2017-09-25,1960-01-01 10:18:00,1,3,2010023011,64,1,0,1,4,3,3,3,2
2017-09-25,1960-01-01 11:01:00,1,3,2010023008,54,1,0,2,1,2,2,2,2
2017-09-25,1960-01-01 11:39:00,1,3,302038006,80,1,0,2,2,3,4,4,2
2017-09-25,1960-01-01 12:01:00,1,3,1306079004,38,2,0,1,3,3,3,3,4
2017-09-25,1960-01-01 12:51:00,1,3,302038011,71,2,1,3,2,4,3,5,2
2017-09-25,1960-01-01 13:05:00,1,3,2010023022,80,1,0,2,4,3,3,3,3
2017-09-25,1960-01-01 13:27:00,1,3,2110059024,53,1,1,4,2,3,1,4,4
2017-09-25,1960-01-01 13:50:00,1,3,302038013,79,2,0,3,2,2,2,2,2
2017-09-25,1960-01-01 14:02:00,1,3,2010013008,41,2,0,2,2,3,2,4,3
2017-09-25,1960-01-01 14:06:00,1,3,2110039020,28,2,0,3,4,1,-1,-1,1
2017-09-25,1960-01-01 14:26:00,1,3,101028001,52,2,0,1,8,1,4,4,5
2017-09-25,1960-01-01 14:29:00,1,3,302038014,29,1,1,3,1,4,4,4,3
2017-09-25,1960-01-01 14:38:00,1,3,1306079010,71,1,0,1,2,1,1,1,1
2017-09-25,1960-01-01 14:51:00,1,3,2010013009,35,2,0,3,5,2,2,-1,2
2017-09-25,1960-01-01 15:10:00,1,3,2110039023,34,1,0,3,1,1,1,1,1
2017-09-25,1960-01-01 15:44:00,1,3,1809039011,56,1,1,1,4,3,3,3,3
2017-09-25,1960-01-01 15:48:00,1,3,1709001018,32,2,0,1,-3,1,1,1,3
2017-09-25,1960-01-01 15:53:00,1,3,2010013011,33,2,0,3,6,3,2,2,2
2017-09-25,1960-01-01 15:56:00,1,3,1909066014,60,2,0,2,2,2,2,2,4
2017-09-25,1960-01-01 16:00:00,1,3,1809051012,33,2,0,3,5,3,3,3,3
2017-09-25,1960-01-01 16:20:00,1,3,2110039016,54,2,1,3,2,2,1,1,1
2017-09-25,1960-01-01 16:46:00,1,3,1709001021,52,1,1,1,6,1,1,1,1
2017-09-25,1960-01-01 16:59:00,1,3,2110039012,26,1,1,3,2,1,1,1,1
2017-09-25,1960-01-01 16:59:00,1,3,1909066024,75,2,0,3,8,2,3,3,4
2017-09-25,1960-01-01 17:02:00,1,3,101028008,27,1,1,1,4,4,3,3,3
2017-09-25,1960-01-01 17:08:00,1,3,2110037022,18,2,0,2,1,3,3,3,3
2017-09-25,1960-01-01 17:26:00,1,3,1809051017,18,2,0,1,1,3,3,3,1
2017-09-25,1960-01-01 17:32:00,1,3,1809033001,31,2,0,1,2,3,3,3,3
2017-09-25,1960-01-01 17:33:00,1,3,1809039014,20,2,0,1,1,1,1,1,4
2017-09-25,1960-01-01 17:34:00,1,3,1106036001,55,1,0,1,1,-1,4,4,4
2017-09-25,1960-01-01 17:38:00,1,3,2110039007,21,2,0,3,1,3,2,3,4
2017-09-25,1960-01-01 17:46:00,1,3,2010013016,72,2,0,3,1,2,2,3,3
2017-09-25,1960-01-01 17:49:00,1,3,1909066023,63,2,0,3,8,1,2,1,4
2017-09-25,1960-01-01 18:04:00,1,3,2110037024,60,2,0,3,8,2,2,2,2
2017-09-25,1960-01-01 18:17:00,1,3,101028011,66,2,0,1,2,4,-1,-1,4
2017-09-25,1960-01-01 18:17:00,1,3,1106036003,95,2,0,3,8,1,2,2,2
2017-09-25,1960-01-01 18:26:00,1,3,1809039015,70,1,0,2,4,3,3,3,4
2017-09-25,1960-01-01 18:38:00,1,3,1809051022,49,2,0,1,8,2,1,2,2
2017-09-25,1960-01-01 18:41:00,1,3,1809033003,68,2,0,1,8,3,3,5,1
2017-09-25,1960-01-01 18:59:00,1,3,2110037018,43,2,0,3,2,5,5,5,5
2017-09-25,1960-01-01 19:17:00,1,3,1709018009,43,2,1,3,1,3,3,3,3
2017-09-25,1960-01-01 19:21:00,1,3,101028012,21,2,0,1,1,1,1,3,3
2017-09-25,1960-01-01 19:28:00,1,3,1809039016,50,2,0,2,8,1,1,1,1
2017-09-25,1960-01-01 20:11:00,1,3,1106036014,33,2,1,3,1,3,3,3,4
2017-09-26,1960-01-01 12:15:00,1,3,1106078014,66,1,0,3,2,2,2,3,3
2017-09-26,1960-01-01 12:53:00,1,3,907035002,67,2,0,4,8,2,2,2,3
2017-09-26,1960-01-01 13:11:00,1,3,1106078018,36,2,0,1,2,2,2,1,4
2017-09-26,1960-01-01 14:04:00,1,3,907035005,60,1,1,1,4,2,2,3,3
2017-09-26,1960-01-01 14:11:00,1,3,101028024,53,2,1,1,2,5,5,5,5
2017-09-26,1960-01-01 14:17:00,1,3,1809033009,32,2,0,3,4,3,3,4,4
2017-09-26,1960-01-01 14:19:00,1,3,2110065022,18,2,0,3,2,1,1,1,2
2017-09-26,1960-01-01 14:22:00,1,3,2010013019,50,2,0,4,2,3,2,2,4
2017-09-26,1960-01-01 14:31:00,1,3,1508025010,35,2,0,3,4,4,1,1,1
2017-09-26,1960-01-01 15:08:00,1,3,1909067002,50,1,1,3,5,-1,2,1,2
2017-09-26,1960-01-01 15:08:00,1,3,1809033010,55,2,0,3,7,1,2,2,3
2017-09-26,1960-01-01 15:13:00,1,3,1306067013,80,2,0,2,8,2,1,1,1
2017-09-26,1960-01-01 15:15:00,1,3,2110065024,19,2,0,1,1,3,3,3,3
2017-09-26,1960-01-01 15:20:00,1,3,2010013020,26,2,1,3,2,2,2,1,4
2017-09-26,1960-01-01 15:22:00,1,3,1709018010,52,2,0,3,7,3,2,3,2
2017-09-26,1960-01-01 15:27:00,1,3,403025010,84,2,0,1,8,-1,3,3,2
